,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,mood
58,0.0703,0.138,-23.644,0.0431,0.821,0.967,0.105,0.0365,77.697,0lgujOKZxSa241uY8kWp7Y,spotify:track:0lgujOKZxSa241uY8kWp7Y,108169,Relaxing
59,0.202,0.104,-24.698,0.0392,0.766,0.95,0.13,0.0909,91.329,3UYbzEmEKYCix4Mo7OXKqh,spotify:track:3UYbzEmEKYCix4Mo7OXKqh,114930,Relaxing
60,0.145,0.0953,-23.818,0.046,0.784,0.823,0.104,0.075,139.474,5TeHL0ZEbwCsyax3wQTcVC,spotify:track:5TeHL0ZEbwCsyax3wQTcVC,96000,Relaxing
61,0.215,0.135,-23.64,0.0363,0.881,0.96,0.0825,0.0348,139.186,31NKBW5ZpOUqCewtOwgN5T,spotify:track:31NKBW5ZpOUqCewtOwgN5T,89143,Relaxing
62,0.356,0.0682,-25.079,0.0346,0.957,0.7,0.0888,0.037,69.968,6O5ehFKzr9z2m6FhpivQQj,spotify:track:6O5ehFKzr9z2m6FhpivQQj,113143,Relaxing
63,0.11,0.168,-22.321,0.0361,0.934,0.806,0.151,0.0391,71.795,44kSmjN9DIwTJoMBHHEnDM,spotify:track:44kSmjN9DIwTJoMBHHEnDM,106286,Relaxing
64,0.276,0.189,-21.931,0.0396,0.891,0.948,0.11,0.0538,140.161,4wISOt1Hp1lkj2dCkipWhy,spotify:track:4wISOt1Hp1lkj2dCkipWhy,116571,Relaxing
65,0.279,0.206,-23.779,0.0398,0.793,0.929,0.111,0.0392,69.645,7jHyMwv86JfAoBgALjZbwM,spotify:track:7jHyMwv86JfAoBgALjZbwM,106286,Relaxing
66,0.26,0.281,-17.586,0.0508,0.942,0.903,0.0954,0.0366,64.456,4tP48zuROIWLULwtFmWOIu,spotify:track:4tP48zuROIWLULwtFmWOIu,92800,Relaxing
67,0.455,0.125,-18.567,0.0396,0.941,0.969,0.1,0.169,70.059,3n7E6nMZXWpWqQoQuJ33SH,spotify:track:3n7E6nMZXWpWqQoQuJ33SH,89143,Relaxing
68,0.351,0.156,-21.413,0.0283,0.887,0.907,0.106,0.0397,79.857,05hc5PiLZ77HU7Gz8TawgK,spotify:track:05hc5PiLZ77HU7Gz8TawgK,84000,Relaxing
69,0.353,0.00746,-26.188,0.0473,0.983,0.877,0.121,0.0916,75.499,19t5Le0ny4yXMDpvevhsrV,spotify:track:19t5Le0ny4yXMDpvevhsrV,84444,Relaxing
70,0.209,0.166,-18.535,0.0406,0.954,0.9,0.108,0.0904,141.003,5D6GS8BXf1BBEPtGQpdIsz,spotify:track:5D6GS8BXf1BBEPtGQpdIsz,101408,Relaxing
71,0.155,0.117,-19.878,0.0343,0.847,0.909,0.107,0.0424,72.564,2NDFlDpAIDF5G8DYDZv5GV,spotify:track:2NDFlDpAIDF5G8DYDZv5GV,93333,Relaxing
72,0.134,0.116,-24.784,0.0429,0.895,0.735,0.103,0.0336,71.553,0ZbXIvAR19BGZGc8zafdhl,spotify:track:0ZbXIvAR19BGZGc8zafdhl,98028,Relaxing
73,0.0954,0.192,-21.27,0.0403,0.776,0.991,0.109,0.0345,48.013,2zuk45iwW1IhxqpwU9FZjl,spotify:track:2zuk45iwW1IhxqpwU9FZjl,96000,Relaxing
74,0.171,0.158,-24.269,0.0341,0.926,0.932,0.112,0.051,114.691,2SMJJ2Mwll31SQZYZMza7h,spotify:track:2SMJJ2Mwll31SQZYZMza7h,90000,Relaxing
75,0.231,0.0669,-28.672,0.0408,0.855,0.904,0.0629,0.0423,64.645,23XlKw4XQXL4ZcYU3T2CHy,spotify:track:23XlKw4XQXL4ZcYU3T2CHy,92055,Relaxing
76,0.0927,0.13,-27.874,0.0425,0.778,0.94,0.0862,0.0612,175.74,2tJcIuKcJyeqDZw983PIP0,spotify:track:2tJcIuKcJyeqDZw983PIP0,96667,Relaxing
77,0.185,0.0869,-24.648,0.0408,0.896,0.973,0.0984,0.0373,62.819,4fnJE1cthnmrDzCcwiNjBV,spotify:track:4fnJE1cthnmrDzCcwiNjBV,96667,Relaxing
78,0.198,0.175,-22.329,0.0393,0.852,0.954,0.103,0.0474,91.119,37cfHEoArRTf7AxGpV9Oc2,spotify:track:37cfHEoArRTf7AxGpV9Oc2,126575,Relaxing
79,0.166,0.108,-25.641,0.0445,0.887,0.883,0.11,0.04,71.252,5aRaDpIXDKzkY6tOEPGV6b,spotify:track:5aRaDpIXDKzkY6tOEPGV6b,90000,Relaxing
80,0.286,0.239,-21.11,0.0495,0.959,0.994,0.0668,0.0392,71.886,4qcuA5PtGFrXNBBJwQsgSI,spotify:track:4qcuA5PtGFrXNBBJwQsgSI,116571,Relaxing
81,0.128,0.199,-20.768,0.0336,0.765,0.883,0.131,0.0453,73.606,2Altc136d7c4gZwdiUgk58,spotify:track:2Altc136d7c4gZwdiUgk58,116757,Relaxing
82,0.214,0.179,-19.328,0.0351,0.935,0.859,0.0892,0.0392,128.165,2BRtJnsP6lHRouBThr1wUf,spotify:track:2BRtJnsP6lHRouBThr1wUf,98028,Relaxing
83,0.195,0.0717,-26.142,0.0429,0.975,0.948,0.0696,0.0358,72.244,2Jdyt9OxI3CEA50ZwSpm22,spotify:track:2Jdyt9OxI3CEA50ZwSpm22,93333,Relaxing
84,0.176,0.129,-24.852,0.0342,0.715,0.857,0.115,0.0352,145.451,6LRAb2JgRHOP6Zv0jptX4k,spotify:track:6LRAb2JgRHOP6Zv0jptX4k,92055,Relaxing
85,0.232,0.0341,-29.896,0.0397,0.929,0.751,0.109,0.0345,71.671,4mnYHZDp7mraBoCVhp9fS8,spotify:track:4mnYHZDp7mraBoCVhp9fS8,102400,Relaxing
86,0.224,0.0219,-28.395,0.0452,0.795,0.752,0.0875,0.0549,139.833,3sOcwWj8Xr5Vpr7yLcyA06,spotify:track:3sOcwWj8Xr5Vpr7yLcyA06,113143,Relaxing
87,0.252,0.107,-27.718,0.0414,0.216,0.677,0.0877,0.0613,112.882,6eLNs7klsD1hwVw6DrTV7o,spotify:track:6eLNs7klsD1hwVw6DrTV7o,97714,Relaxing
