name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,uri,duration_ms
Butterfly,The Gift Of Game,Crazy Town,4BggEwLhGfrbrl7JBhC8EC,1999-11-04,71.0,216733.0,0.736,0.00132,0.8109999999999999,0.0001419999999999,0.107,0.609,-4.17,0.081,103.502,9.0,4.0,happy,,
Bye Bye Little House,Bye Bye Little House,Ella van der Woude,7AQKjpzLGVBKvTDyoJ7YVK,2020-01-03,30.0,202405.0,0.31,0.985,0.0313,0.94,0.263,0.182,-23.55,0.0325,92.857,10.0,4.0,calm,,
California Dreamin',If You Can Believe Your Eyes And Ears,The Mamas & The Papas,63rva3TBizr6x1Yp5uwKfD,1966-03,50.0,157960.0,0.5539999999999999,0.628,0.667,0.0,0.0486,0.597,-10.226,0.0342,112.749,1.0,4.0,happy,,
Calm Wilderness,Calm Wilderness,Night Sounds,44Co96UhNfnq258r2VybLE,2019-08-22,52.0,231723.0,0.186,0.8859999999999999,0.271,0.961,0.141,0.0684,-17.149,0.0449,115.896,7.0,4.0,calm,,
Chariot,B-Sides and Rarities,Beach House,6dB3Uad2TOaJcGKpM3zizO,2017-06-30,42.0,316507.0,0.374,0.6629999999999999,0.426,0.607,0.0886,0.0902,-7.395,0.0315,102.174,10.0,4.0,sad,,
Chocolate,The 1975,The 1975,4WiiRw2PHMNQE0ad6y6GdD,2013-01-01,66.0,224673.0,0.614,0.000532,0.938,0.0,0.368,0.607,-4.461,0.0611,100.058,11.0,4.0,happy,,
City Lights,City Lights,Marlies du Mosch,5OxyHotdy7y789r3UQcHAB,2020-07-03,26.0,226266.0,0.341,0.983,0.0582,0.924,0.097,0.0514,-23.103,0.0472,83.05,8.0,4.0,calm,,
Clap Your Hands,Clap Your Hands,Sia,18cST7DK31Ab2rTH1POP6A,2010-04-09,44.0,238466.0,0.6990000000000001,0.000532,0.87,0.0219,0.359,0.778,-4.925,0.0546,120.033,0.0,4.0,happy,,
Cleansing,Cleansing,Jacco Wynia,6u1ymcw9MTK9mPGy8XdvEb,2020-05-29,36.0,304217.0,0.18,0.956,0.0754,0.926,0.11,0.0366,-26.645,0.0346,71.675,9.0,4.0,calm,,
Clear Skies,Clear Skies,Dhyana Thomas,7bKMZYXVYzGMvnHiRDCmjy,2019-04-26,51.0,162085.0,0.421,0.94,0.136,0.89,0.113,0.0505,-23.521,0.0305,110.036,11.0,4.0,calm,,
Coda,Endeavour,Jakob Ahlbom,2TFQPFUqRtgj1auq9b5PlR,2019-10-04,58.0,180614.0,0.351,0.93,0.24,0.904,0.101,0.0968,-15.363,0.034,79.919,9.0,3.0,calm,,
Cold Arms,Wilder Mind,Mumford & Sons,7kpZ9isu48poYKpaAb0wiR,2015-05-01,0.0,169906.0,0.431,0.815,0.144,1.1e-06,0.124,0.0491,-12.07,0.039,137.683,11.0,4.0,sad,,
Cold Nights,Cold Nights,Camo Columbo,1q3AoLCoawd8Gpm9wP7sHi,2020-01-03,51.0,189813.0,0.941,0.321,0.421,9.34e-05,0.0967,0.787,-7.917999999999998,0.0583,107.011,11.0,4.0,sad,,
Colgando,Siesta,Barulinho,2dVvMXDWBY0U7VjCjOjVH9,2020-07-31,36.0,268800.0,0.5670000000000001,0.948,0.39,0.966,0.0802,0.133,-13.701,0.0301,99.997,0.0,4.0,calm,,
Collapse Into Light,Collapse Into Light,Evin Iris,3jP962JoLAn9p4wCDdx4My,2019-10-18,55.0,179500.0,0.305,0.933,0.229,0.904,0.104,0.0562,-18.329,0.0334,121.599,1.0,4.0,calm,,
Come On Eileen,Too Rye Ay (Deluxe Edition),Dexys Midnight Runners,5uzNa0SBGOe5pPnstWHMCt,1982-08,1.0,273720.0,0.466,0.413,0.615,0.0,0.343,0.812,-9.102,0.0492,108.016,0.0,4.0,happy,,
Coming Home,Coming Home,Zoe Connelly,30ACOtgBj1PqZs1erzFZkU,2019-12-11,51.0,172818.0,0.198,0.8540000000000001,0.139,0.856,0.0773,0.106,-18.72,0.031,82.405,5.0,4.0,calm,,
Consequences,Camila,Camila Cabello,7sTtHHrD0zDpmzQzH3zegz,2018-01-12,74.0,178466.0,0.455,0.889,0.292,0.0,0.106,0.43,-6.792000000000002,0.0563,84.339,0.0,5.0,sad,,
Conversation,Conversation,Lucy Rose,4THgqBGsTYJcNcQWCV92AP,2019-01-10,45.0,229560.0,0.242,0.901,0.1369999999999999,0.0105,0.1669999999999999,0.0644,-16.332,0.0322,92.454,2.0,3.0,sad,,
Count On You - ATFC's C-thru Remix,Count On You (ATFC's C-thru Remix),Autoerotique,7GL2SOvJXs8QVLX0cUADeq,2018-07-16,42.0,235594.0,0.825,0.00735,0.925,0.8079999999999999,0.057,0.5670000000000001,-7.502000000000002,0.0463,123.025,4.0,4.0,happy,,
Courage,Courage,Ian Wong,0gj8zftpww3PXx8xea7Ygn,2020-02-28,34.0,162083.0,0.635,0.994,0.0302,0.952,0.107,0.237,-26.234,0.0401,83.22200000000002,1.0,1.0,calm,,
Crash,Crash,Chris Malinchak,1FXlhqcYaiw6KuUYtXdtAi,2018-03-07,57.0,232981.0,0.6890000000000001,0.000455,0.456,0.882,0.07,0.238,-12.307,0.0339,126.0,2.0,4.0,happy,,
Crazy,St. Elsewhere,Gnarls Barkley,1vxw6aYJls2oq3gW0DujAo,2006-04-24,77.0,177466.0,0.855,0.0505,0.5870000000000001,0.00714,0.105,0.64,-4.589,0.0336,111.97,8.0,4.0,happy,,
